City Name,Latitude,Longitude,Temperature,Humidity,Cloudiness,Windspeed,Date
Mataura,-46.19,168.86,282.98,49,0,0.15,2020-07-19 01:35:41
Jamestown,42.1,-79.24,296.86,69,1,2.72,2020-07-19 01:35:41
Lüderitz,-26.65,15.16,291.15,25,0,2.1,2020-07-19 01:35:41
Ushuaia,-54.8,-68.3,273.15,94,75,4.1,2020-07-19 01:35:41
Rikitea,-23.12,-134.97,294.16,82,100,5.0,2020-07-19 01:35:41
Hobart,-42.88,147.33,286.93,54,20,3.1,2020-07-19 01:31:07
Vaini,-21.2,-175.2,299.15,83,75,6.2,2020-07-19 01:35:42
George Town,5.41,100.34,300.46,88,20,1.5,2020-07-19 01:35:42
Barrow,71.29,-156.79,276.15,74,90,5.1,2020-07-19 01:35:42
Krasnokamensk,50.1,118.04,288.3,86,98,5.12,2020-07-19 01:35:42
Kavieng,-2.57,150.8,301.51,74,85,3.15,2020-07-19 01:35:42
Saint-Philippe,-21.36,55.77,286.84,68,90,4.6,2020-07-19 01:35:42
Nome,64.5,-165.41,287.23,71,1,9.8,2020-07-19 01:35:42
Mahébourg,-20.41,57.7,293.15,72,40,7.2,2020-07-19 01:35:43
Ostrovnoy,68.05,39.51,288.67,60,1,7.25,2020-07-19 01:35:43
New Norfolk,-42.78,147.06,285.68,73,15,1.79,2020-07-19 01:35:43
Yumen,40.28,97.2,299.95,16,96,3.03,2020-07-19 01:35:43
Upernavik,72.79,-56.15,281.72,56,0,2.44,2020-07-19 01:35:43
Arraial do Cabo,-22.97,-42.03,294.34,76,0,7.44,2020-07-19 01:35:43
Nikolskoye,59.7,30.79,287.3,76,100,3.0,2020-07-19 01:35:44
Punta Arenas,-53.15,-70.92,274.98,74,99,6.7,2020-07-19 01:35:44
Hilo,19.73,-155.09,299.87,66,75,4.1,2020-07-19 01:35:44
Beloit,42.51,-89.03,302.21,74,20,5.1,2020-07-19 01:35:44
Erenhot,43.65,111.98,294.66,32,0,2.38,2020-07-19 01:35:45
Alta Floresta,-9.88,-56.09,296.69,51,0,1.76,2020-07-19 01:35:45
Molteno,-31.4,26.36,276.05,63,0,2.25,2020-07-19 01:34:05
Airai,-8.93,125.41,295.62,34,0,1.48,2020-07-19 01:35:45
Bambous Virieux,-20.34,57.76,292.62,72,40,7.2,2020-07-19 01:35:46
Geraldton,-28.77,114.6,285.15,87,90,3.6,2020-07-19 01:35:46
Atuona,-9.8,-139.03,299.24,80,47,7.35,2020-07-19 01:35:46
Grand Gaube,-20.01,57.66,292.04,79,53,2.24,2020-07-19 01:35:46
Saint-Augustin,51.23,-58.65,288.65,80,85,4.2,2020-07-19 01:35:46
Hay River,60.82,-115.8,296.15,53,75,1.5,2020-07-19 01:35:46
Trairi,-3.28,-39.27,297.53,85,6,4.89,2020-07-19 01:35:47
Port Alfred,-33.59,26.89,288.08,77,0,4.38,2020-07-19 01:33:12
Bredasdorp,-34.53,20.04,285.15,93,53,1.0,2020-07-19 01:34:05
Saskylakh,71.92,114.08,284.52,59,41,4.58,2020-07-19 01:35:47
Busselton,-33.65,115.33,285.72,68,100,1.33,2020-07-19 01:35:47
Ahipara,-35.17,173.17,288.41,86,100,5.62,2020-07-19 01:35:47
Olafsvik,64.89,-23.71,281.24,80,5,4.48,2020-07-19 01:35:47
Pevek,69.7,170.31,281.22,64,1,2.21,2020-07-19 01:35:48
Springbok,-29.66,17.89,283.12,41,0,2.89,2020-07-19 01:35:48
Longyearbyen,78.22,15.64,280.15,87,75,1.5,2020-07-19 01:35:48
Bengkulu,-3.8,102.27,300.66,71,100,1.1,2020-07-19 01:35:48
Mogadishu,2.04,45.34,297.88,79,89,9.07,2020-07-19 01:32:35
Kasangulu,-4.59,15.17,293.15,94,40,3.1,2020-07-19 01:35:49
Gewanē,10.17,40.65,295.71,76,100,8.18,2020-07-19 01:35:49
Butaritari,3.07,172.79,301.47,76,43,6.55,2020-07-19 01:35:49
Norman Wells,65.28,-126.83,293.15,64,75,4.6,2020-07-19 01:35:50
Anadyr,64.75,177.48,284.96,66,40,8.0,2020-07-19 01:34:03
Natal,-5.79,-35.21,294.65,100,20,1.5,2020-07-19 01:32:34
Albany,42.6,-73.97,297.23,64,59,1.69,2020-07-19 01:35:02
San Cristobal,7.77,-72.22,291.91,92,78,1.38,2020-07-19 01:35:50
Ibanda,-2.8,32.47,290.16,43,95,2.14,2020-07-19 01:35:50
Ponta do Sol,32.67,-17.1,294.09,79,32,0.86,2020-07-19 01:35:50
Kaitangata,-46.28,169.85,282.04,63,0,2.68,2020-07-19 01:35:51
Boa Vista,2.82,-60.67,300.15,78,40,2.1,2020-07-19 01:35:51
Ransang,8.96,117.58,303.63,61,85,0.8,2020-07-19 01:35:51
Batagay-Alyta,67.8,130.41,291.61,70,100,1.27,2020-07-19 01:35:51
Rome,43.21,-75.46,295.85,78,1,1.26,2020-07-19 01:35:51
Hithadhoo,-0.6,73.08,301.13,79,100,6.22,2020-07-19 01:35:51
Bethel,41.37,-73.41,296.26,78,1,2.1,2020-07-19 01:35:52
Bluff,-46.6,168.33,281.08,61,1,2.32,2020-07-19 01:35:52
Sim,54.99,57.7,294.78,80,63,1.21,2020-07-19 01:35:52
Saint George,37.1,-113.58,312.73,9,1,4.1,2020-07-19 01:35:23
Hasaki,35.73,140.83,299.08,88,75,2.1,2020-07-19 01:35:52
Khatanga,71.97,102.5,282.97,72,100,2.67,2020-07-19 01:35:52
Phan Thiet,10.93,108.1,302.4,70,67,0.73,2020-07-19 01:35:53
Tinglev,54.93,9.25,289.9,77,100,4.6,2020-07-19 01:35:53
Karratha,-20.74,116.85,294.3,60,0,3.23,2020-07-19 01:35:53
Carnarvon,-24.87,113.63,287.15,67,0,6.7,2020-07-19 01:35:53
Puerto Ayora,-0.74,-90.35,293.71,92,79,1.79,2020-07-19 01:35:53
Kibre Mengist,5.88,38.98,285.94,75,99,0.98,2020-07-19 01:35:53
Padang,-0.95,100.35,298.15,88,40,2.1,2020-07-19 01:35:53
Avarua,-21.21,-159.78,297.15,69,69,5.7,2020-07-19 01:35:37
Plettenberg Bay,-34.05,23.37,286.36,73,3,1.46,2020-07-19 01:35:54
Grand Bank,47.1,-55.77,287.1,100,75,6.7,2020-07-19 01:35:54
Avera,33.19,-82.53,301.73,62,1,1.5,2020-07-19 01:35:54
Sudak,44.85,34.97,294.38,82,11,4.76,2020-07-19 01:35:54
Clarksdale,34.2,-90.57,303.68,66,0,2.18,2020-07-19 01:35:54
Bansud,12.87,121.46,303.42,61,100,1.58,2020-07-19 01:35:54
Namatanai,-3.67,152.43,302.32,69,57,2.42,2020-07-19 01:35:55
Burgos,42.34,-3.71,289.65,82,0,1.52,2020-07-19 01:35:55
Cradock,-32.16,25.62,278.47,53,0,1.47,2020-07-19 01:35:55
Horsham,51.06,-0.33,288.97,87,100,1.0,2020-07-19 01:35:55
Ridgecrest,35.62,-117.67,313.09,5,75,5.7,2020-07-19 01:35:56
Ola,59.58,151.28,291.19,48,0,3.33,2020-07-19 01:35:56
Lotofaga,-13.98,-171.86,300.18,79,8,9.05,2020-07-19 01:35:56
Saint Anthony,45.02,-93.22,302.35,66,90,6.2,2020-07-19 01:35:56
Lakki,32.61,70.91,309.01,35,0,3.05,2020-07-19 01:35:56
Bariloche,-41.15,-71.31,277.15,93,90,1.5,2020-07-19 01:32:51
Lata,40.16,-8.33,291.74,79,0,0.76,2020-07-19 01:35:57
Doha,25.29,51.53,308.34,67,0,3.1,2020-07-19 01:34:02
Ilulissat,69.22,-51.1,285.15,37,100,1.5,2020-07-19 01:35:57
Hualmay,-11.1,-77.61,288.12,84,9,3.59,2020-07-19 01:35:57
Qaanaaq,77.48,-69.36,281.62,74,98,0.46,2020-07-19 01:35:57
Rypefjord,70.63,23.67,286.15,71,96,5.1,2020-07-19 01:35:57
Hong Kong,22.29,114.16,304.47,62,100,5.36,2020-07-19 01:35:18
Iqaluit,63.75,-68.51,282.09,93,75,3.37,2020-07-19 01:35:58
Saint Paul Harbor,57.79,-152.41,291.15,68,90,4.1,2020-07-19 01:35:58
Kruisfontein,-34.0,24.73,283.02,81,0,2.34,2020-07-19 01:35:58
Dakar,14.69,-17.44,300.15,88,40,4.1,2020-07-19 01:31:39
Malanje,-9.54,16.34,283.57,48,0,2.41,2020-07-19 01:35:58
Poplar Bluff,36.76,-90.39,303.06,66,1,2.6,2020-07-19 01:35:58
Vila Velha,-20.33,-40.29,292.39,88,40,1.0,2020-07-19 01:35:59
Lubango,-14.92,13.49,281.49,52,0,3.83,2020-07-19 01:35:59
Port Blair,11.67,92.75,301.83,73,83,3.13,2020-07-19 01:33:13
La Ronge,55.1,-105.28,290.15,93,75,3.6,2020-07-19 01:35:59
Yārāda,17.65,83.27,300.15,88,40,2.1,2020-07-19 01:35:59
Hervey Bay,-25.3,152.85,294.82,59,0,3.13,2020-07-19 01:35:59
Chokurdakh,70.63,147.92,291.31,34,0,6.09,2020-07-19 01:35:59
Tessalit,20.2,1.01,301.53,53,49,5.95,2020-07-19 01:36:00
Kismayo,-0.36,42.55,298.02,77,97,8.47,2020-07-19 01:36:00
Tingo María,-9.29,-76.01,294.09,82,23,0.59,2020-07-19 01:36:00
Lompoc,34.64,-120.46,291.84,68,0,6.2,2020-07-19 01:36:00
Saint-Pierre,-21.34,55.48,287.42,68,90,4.6,2020-07-19 01:36:00
Saint-Leu,-21.15,55.28,286.68,68,90,4.6,2020-07-19 01:36:00
Labuhan,-6.88,112.21,300.58,71,0,3.25,2020-07-19 01:36:00
Bubaque,11.28,-15.83,297.79,94,100,5.6,2020-07-19 01:36:01
Tranås,58.04,14.98,285.79,87,100,1.5,2020-07-19 01:36:01
Pareora,-44.49,171.21,282.59,97,81,2.83,2020-07-19 01:36:01
Cape Town,-33.93,18.42,284.5,93,0,2.6,2020-07-19 01:33:19
Linxia Chengguanzhen,35.6,103.21,291.49,48,0,0.47,2020-07-19 01:36:01
Jieshi,22.81,115.83,302.95,76,89,6.13,2020-07-19 01:36:01
High Level,58.52,-117.14,295.15,56,75,4.6,2020-07-19 01:36:01
Châteauroux,46.82,1.7,288.15,77,0,1.88,2020-07-19 01:32:12
Karligan,14.97,122.05,302.12,76,100,3.62,2020-07-19 01:36:02
Sawākin,19.11,37.33,301.97,36,2,1.66,2020-07-19 01:36:02
Kupang,-10.17,123.58,302.15,48,20,3.6,2020-07-19 01:36:02
Bumba,2.18,22.47,294.3,93,98,0.78,2020-07-19 01:36:02
Starogard Gdański,53.96,18.53,287.81,100,0,1.0,2020-07-19 01:36:02
Maniitsoq,65.42,-52.9,283.37,71,81,4.91,2020-07-19 01:36:03
Jalu,29.03,21.55,297.2,53,0,4.07,2020-07-19 01:36:03
Rutland,43.62,-73.02,295.61,61,1,3.1,2020-07-19 01:36:03
North Bend,43.41,-124.22,292.0,82,1,11.8,2020-07-19 01:36:03
Hermanus,-34.42,19.23,283.71,93,12,0.45,2020-07-19 01:36:03
Zhigansk,66.77,123.37,293.11,56,1,4.87,2020-07-19 01:36:03
Chulucanas,-5.09,-80.16,292.8,67,0,4.01,2020-07-19 01:36:03
Tuktoyaktuk,69.45,-133.04,279.15,93,90,6.2,2020-07-19 01:36:03
Novo Cruzeiro,-17.47,-41.88,285.96,97,62,1.4,2020-07-19 01:36:04
São João da Barra,-21.64,-41.05,293.61,75,0,2.7,2020-07-19 01:36:04
Kang,-23.68,22.79,280.05,53,0,2.83,2020-07-19 01:36:04
Cabo San Lucas,22.89,-109.91,303.37,35,5,5.1,2020-07-19 01:36:04
Coyhaique,-45.58,-72.07,273.15,93,90,1.5,2020-07-19 01:36:04
Cayenne,4.93,-52.33,298.15,100,77,1.0,2020-07-19 01:36:05
Virginia Beach,36.85,-75.98,300.27,83,40,2.91,2020-07-19 01:33:58
Bridlington,54.08,-0.19,286.42,72,79,1.5,2020-07-19 01:36:05
Vardø,70.37,31.11,283.63,87,100,2.1,2020-07-19 01:36:05
Xinqing,48.23,129.5,300.94,67,79,2.87,2020-07-19 01:36:05
Soyo,-6.13,12.37,294.41,90,0,1.6,2020-07-19 01:36:05
Tautira,-17.73,-149.15,300.15,65,75,2.1,2020-07-19 01:36:05
Liku,-0.73,119.89,303.43,58,85,0.59,2020-07-19 01:36:06
Wellington,-41.29,174.78,286.35,67,100,3.1,2020-07-19 01:36:06
Comodoro Rivadavia,-45.87,-67.5,279.15,93,75,3.1,2020-07-19 01:36:06
Santa Maria,-29.68,-53.81,298.15,61,0,5.1,2020-07-19 01:31:45
Meulaboh,4.14,96.13,301.08,71,60,1.32,2020-07-19 01:36:06
Monrovia,6.3,-10.8,298.15,94,75,1.93,2020-07-19 01:36:06
Atamanovka,51.93,113.63,289.15,59,40,4.0,2020-07-19 01:36:06
Kapaa,22.08,-159.32,301.48,70,75,5.1,2020-07-19 01:32:08
Springdale,36.19,-94.13,302.52,58,1,4.6,2020-07-19 01:36:07
Tiznit Province,29.58,-9.5,299.55,29,0,0.63,2020-07-19 01:36:07
Severo-Kuril'sk,50.68,156.12,285.09,82,63,6.18,2020-07-19 01:36:07
Sandviken,60.62,16.77,288.71,81,69,0.45,2020-07-19 01:36:07
Yellowknife,62.46,-114.35,294.98,43,20,4.6,2020-07-19 01:36:07
San Juan,-31.54,-68.54,286.86,41,2,2.34,2020-07-19 01:36:07
Martapura,-3.42,114.85,300.15,83,20,0.3,2020-07-19 01:36:08
Camapuã,-19.53,-54.04,296.1,38,0,4.75,2020-07-19 01:36:08
Tabuk,17.42,121.44,302.67,66,71,2.57,2020-07-19 01:36:08
Tsiroanomandidy,-18.77,46.03,284.38,75,61,1.02,2020-07-19 01:36:08
Bonthe,7.53,-12.51,297.61,85,99,2.29,2020-07-19 01:36:08
Yerbogachën,61.28,108.01,287.19,71,22,2.55,2020-07-19 01:36:08
East London,-33.02,27.91,289.36,60,0,3.91,2020-07-19 01:36:08
Ribeira Grande,38.52,-28.7,293.68,78,11,3.81,2020-07-19 01:36:09
Calabozo,8.92,-67.43,296.73,94,99,0.86,2020-07-19 01:36:09
Wuning,29.26,120.23,306.2,60,63,3.4,2020-07-19 01:36:09
Portland,45.52,-122.68,300.95,37,1,6.2,2020-07-19 01:31:31
Ves'yegonsk,58.66,37.26,284.75,93,0,1.57,2020-07-19 01:36:09
Castro,-24.79,-50.01,287.18,91,0,1.6,2020-07-19 01:36:09
Mahbūbābād,17.62,80.02,301.17,80,48,1.67,2020-07-19 01:36:09
Broken Hill,-31.95,141.43,286.15,32,3,6.2,2020-07-19 01:36:09
São Filipe,14.9,-24.5,297.62,77,20,2.61,2020-07-19 01:36:10
Lethem,3.38,-59.8,297.73,83,77,1.65,2020-07-19 01:36:10
Lorengau,-2.02,147.27,301.78,72,43,2.55,2020-07-19 01:36:10
Laguna,38.42,-121.42,308.55,22,1,4.1,2020-07-19 01:36:10
Strășeni,47.14,28.61,295.15,53,99,3.1,2020-07-19 01:36:10
Ibrā’,22.69,58.53,302.71,61,1,2.97,2020-07-19 01:36:11
Nhulunbuy,-12.23,136.77,299.15,65,75,4.6,2020-07-19 01:36:11
Havelock,34.88,-76.9,301.67,32,20,3.1,2020-07-19 01:31:14
Abhā,18.22,42.51,294.08,42,92,5.15,2020-07-19 01:34:38
Crixás,-14.55,-49.97,294.48,48,0,2.74,2020-07-19 01:36:11
Fergus Falls,46.28,-96.08,297.43,65,1,4.6,2020-07-19 01:32:47
Neuquén,-38.95,-68.06,286.15,66,11,2.23,2020-07-19 01:33:19
Guerrero Negro,27.98,-114.06,295.02,73,0,8.27,2020-07-19 01:36:12
Egvekinot,66.32,-179.17,283.79,60,10,3.4,2020-07-19 01:36:12
Modakeke,7.38,4.27,294.04,98,99,1.23,2020-07-19 01:36:12
Kenora,49.82,-94.43,296.15,69,75,5.7,2020-07-19 01:36:12
Pombas,17.15,-25.02,298.15,73,75,4.6,2020-07-19 01:36:12
Kasongo-Lunda,-6.47,16.82,290.6,42,0,1.09,2020-07-19 01:36:13
Rawson,-43.3,-65.1,280.92,82,100,5.93,2020-07-19 01:36:13
Kiama,-34.68,150.87,290.08,54,25,0.89,2020-07-19 01:36:13
Mar del Plata,-38.0,-57.56,282.33,100,90,1.51,2020-07-19 01:35:19
Tigil',57.8,158.67,287.74,78,70,4.03,2020-07-19 01:36:13
Nanortalik,60.14,-45.24,281.29,79,54,1.51,2020-07-19 01:36:13
Dikson,73.51,80.55,277.38,95,100,2.64,2020-07-19 01:36:13
Puerto Rico,-26.8,-55.02,292.59,83,0,2.11,2020-07-19 01:36:13
Biak,-0.91,122.88,300.79,72,32,2.96,2020-07-19 01:36:14
Baghdad,33.34,44.4,302.15,26,0,2.6,2020-07-19 01:31:48
Tuatapere,-46.13,167.68,283.4,48,2,0.98,2020-07-19 01:36:14
Bathsheba,13.22,-59.52,301.15,78,40,6.2,2020-07-19 01:36:14
Tasiilaq,65.61,-37.64,280.15,81,68,2.1,2020-07-19 01:36:14
Constitución,-35.33,-72.42,285.84,89,94,4.37,2020-07-19 01:33:20
Puerto Nariño,-3.77,-70.38,298.15,100,40,1.5,2020-07-19 01:36:15
Kilindoni,-7.91,39.67,298.12,71,6,10.55,2020-07-19 01:36:15
Charlestown,-32.95,151.67,290.15,66,0,3.58,2020-07-19 01:36:15
Burdur,37.72,30.29,294.15,60,0,1.22,2020-07-19 01:36:15
Alofi,-19.06,-169.92,301.15,65,92,5.1,2020-07-19 01:36:15
Provideniya,64.38,-173.3,283.04,63,6,2.54,2020-07-19 01:36:16
Rāikot,30.65,75.6,307.21,51,32,2.76,2020-07-19 01:36:16
Ocós,14.51,-92.19,301.15,83,75,1.0,2020-07-19 01:36:16
Midland,32.0,-102.08,308.0,24,1,6.7,2020-07-19 01:36:16
Maxixe,-23.86,35.35,290.01,79,17,1.31,2020-07-19 01:36:16
Timmins,48.47,-81.33,293.15,100,75,2.1,2020-07-19 01:31:45
Sokoto,13.06,5.24,298.43,72,94,3.56,2020-07-19 01:36:16
Tura,25.52,90.22,298.48,94,95,3.44,2020-07-19 01:36:16
Aksu,41.12,80.26,298.69,37,99,2.66,2020-07-19 01:36:16
Kavaratti,10.57,72.64,301.24,76,100,8.73,2020-07-19 01:36:17
Dzerzhinsk,56.24,43.46,289.21,100,40,2.14,2020-07-19 01:36:17
Vestmanna,62.16,-7.17,281.15,100,91,5.1,2020-07-19 01:36:17
Letlhakeng,-24.09,25.03,280.33,53,0,1.18,2020-07-19 01:36:17
Roald,62.58,6.13,285.26,71,1,5.7,2020-07-19 01:36:17
Kaeo,-35.1,173.78,288.15,3,100,4.47,2020-07-19 01:36:18
Clyde River,70.47,-68.59,279.15,87,90,5.7,2020-07-19 01:36:18
Taksimo,56.34,114.88,286.75,73,100,1.65,2020-07-19 01:36:18
Acaraú,-2.89,-40.12,298.86,77,1,6.28,2020-07-19 01:36:18
Hopkinsville,36.87,-87.49,302.22,70,1,2.1,2020-07-19 01:36:18
Hamilton,39.18,-84.53,302.27,66,40,2.6,2020-07-19 01:35:30
Rio Grande,-32.03,-52.1,294.26,80,1,0.45,2020-07-19 01:36:18
Hirara,24.8,125.28,300.97,83,75,5.7,2020-07-19 01:36:18
Tiksi,71.69,128.87,284.07,97,100,3.89,2020-07-19 01:36:19
Vestmannaeyjar,63.44,-20.27,282.34,75,64,10.88,2020-07-19 01:36:19
Half Moon Bay,37.46,-122.43,295.84,47,5,3.6,2020-07-19 01:36:19
Pemba,-12.97,40.52,293.49,81,0,7.24,2020-07-19 01:36:19
Cascais,38.7,-9.42,291.23,94,0,3.42,2020-07-19 01:36:19
Palmer,42.16,-72.33,295.26,83,20,1.25,2020-07-19 01:32:21
Saint-François,46.42,3.91,286.05,87,27,1.0,2020-07-19 01:36:19
Staryy Nadym,65.61,72.68,285.96,86,98,3.21,2020-07-19 01:36:20
Ejura,7.39,-1.36,294.59,97,90,2.15,2020-07-19 01:36:20
Ambilobe,-13.2,49.05,289.17,66,41,1.7,2020-07-19 01:36:20
Tateyama,34.98,139.87,297.21,94,75,4.6,2020-07-19 01:36:20
Chui,-33.7,-53.46,290.17,93,19,2.64,2020-07-19 01:36:20
Klaksvík,62.23,-6.59,281.15,100,86,5.1,2020-07-19 01:36:21
Menongue,-14.66,17.69,277.93,69,0,1.69,2020-07-19 01:36:21
Terrace Bay,48.78,-87.1,286.96,100,47,2.01,2020-07-19 01:36:21
Kapoeta,4.77,33.59,294.56,83,100,1.49,2020-07-19 01:36:21
Araouane,18.9,-3.53,301.7,59,95,8.19,2020-07-19 01:36:21
Henties Bay,-22.12,14.28,292.04,20,0,0.89,2020-07-19 01:36:21
Merauke,-8.47,140.33,299.44,74,76,4.09,2020-07-19 01:36:21
Leningradskiy,69.38,178.42,278.52,74,17,4.86,2020-07-19 01:36:22
Dukat,62.55,155.55,285.58,67,95,5.98,2020-07-19 01:36:22
Loudi,27.73,111.99,298.88,94,100,1.23,2020-07-19 01:36:22
Broome,42.25,-75.83,296.99,47,1,2.6,2020-07-19 01:36:22
Auki,-8.77,160.7,302.95,62,60,1.9,2020-07-19 01:36:22
Mackenzie,55.3,-123.17,290.15,72,90,3.1,2020-07-19 01:36:22
Grand-Santi,4.25,-54.38,295.93,95,100,1.2,2020-07-19 01:36:23
Lusaka,-15.41,28.29,282.7,87,0,4.08,2020-07-19 01:36:11
San Patricio,19.22,-104.7,301.15,74,20,5.1,2020-07-19 01:36:23
Ulladulla,-35.35,150.47,287.56,54,76,6.2,2020-07-19 01:36:23
Sola,-13.88,167.55,301.15,88,90,2.24,2020-07-19 01:36:24
Gornopravdinsk,60.05,69.9,296.94,73,48,2.91,2020-07-19 01:36:24
Abalak,58.13,68.59,297.07,72,11,1.74,2020-07-19 01:36:24
Souillac,-20.52,57.52,293.15,72,40,7.2,2020-07-19 01:36:24
Sioux Lookout,50.1,-91.92,299.15,54,75,2.1,2020-07-19 01:36:24
Vallenar,-28.57,-70.76,287.54,61,99,0.32,2020-07-19 01:36:24
Fort Nelson,58.81,-122.7,298.15,38,75,1.5,2020-07-19 01:36:25
Santa Rosa,14.31,121.11,304.12,66,20,3.1,2020-07-19 01:36:25
Port Hardy,50.7,-127.42,290.15,82,90,5.1,2020-07-19 01:36:25
Katsuura,35.13,140.3,297.88,94,75,4.6,2020-07-19 01:36:25
Malindi,-3.22,40.12,298.47,70,68,10.15,2020-07-19 01:36:25
Rūdbār,30.15,62.6,301.2,25,0,5.76,2020-07-19 01:36:26
Torres,-29.34,-49.73,291.27,89,0,2.77,2020-07-19 01:36:26
Rocha,-34.48,-54.33,289.87,92,100,2.32,2020-07-19 01:36:26
